"","telepules","ar_e_ft","terulet_m_2","szobak","epites_tipusa","futes","emelet","ing_allapota","lift","megye","egesz_szoba","felszobak_szama","regio"
"74","Budapest VII ker",21900,25,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"75","Budapest XIII ker",17200,25,"1","tégla","gaz",3,"felújítandó","0","Budapest",1,0,"Budapest"
"76","Budapest XIV ker",33500,46,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"77","Budapest VII ker",30500,31,"1","tégla","gaz",3,"jó állapotú","1","Budapest",1,0,"Budapest"
"78","Budapest IX ker",32990,31,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"79","Budapest XIV ker",33500,46,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"80","Vác",21900,41,"1","panel","kozponti",3,"jó állapotú","1","Pest",1,0,"Pest"
"81","Dunakeszi",28500,34,"1","tégla","kozponti",3,"újszerű","1","Pest",1,0,"Pest"
"82","Budapest XI ker",29000,37,"1","tégla","gaz",3,"felújított","0","Budapest",1,0,"Budapest"
"83","Budapest XIV ker",33500,46,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"84","Budapest VIII ker",19900,28,"1","tégla","gaz",3,"közepes állapotú","0","Budapest",1,0,"Budapest"
"85","Budapest XIII ker",24000,25,"1","tégla","gaz",3,"újszerű","0","Budapest",1,0,"Budapest"
"86","Budapest VI ker",45500,30,"1","tégla","villany",3,"újszerű","1","Budapest",1,0,"Budapest"
"87","Budapest III ker",26300,27,"1","panel","kozponti",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"88","Budapest XIII ker",23500,35,"1","tégla","villany",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"89","Budapest VIII ker",24700,28,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"90","Budapest VII ker",21900,25,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"91","Budapest VII ker",26100,28,"1","tégla","gaz",3,"jó állapotú","0","Budapest",1,0,"Budapest"
"92","Budapest XIV ker",26800,37,"1","panel","kozponti",3,"közepes állapotú","1","Budapest",1,0,"Budapest"
